accuracy,loss,val_accuracy,val_loss,learning_rate
0.120525062084198,2.8083853721618652,0.14189189672470093,2.3928451538085938,9.999999747378752e-05
0.1372314989566803,2.6861300468444824,0.14864864945411682,2.3916497230529785,9.999999747378752e-05
0.14916467666625977,2.55947208404541,0.13513512909412384,2.537036895751953,9.999999747378752e-05
0.1706443876028061,2.494266986846924,0.12162162363529205,2.6053028106689453,9.999999747378752e-05
0.17780429124832153,2.4900903701782227,0.15540540218353271,2.55753231048584,9.999999747378752e-05
0.19451074302196503,2.4685847759246826,0.1756756752729416,2.572077512741089,9.999999747378752e-05
0.21479713916778564,2.349292278289795,0.15540540218353271,2.6573402881622314,4.999999873689376e-05
0.19928400218486786,2.395904302597046,0.1621621549129486,2.636470079421997,4.999999873689376e-05
0.21957039833068848,2.3430213928222656,0.18243242800235748,2.6014275550842285,4.999999873689376e-05
0.21002386510372162,2.3683011531829834,0.18918919563293457,2.55112361907959,4.999999873689376e-05
