accuracy,loss,val_accuracy,val_loss,learning_rate
0.120525062084198,2.2965946197509766,0.14189189672470093,2.2801311016082764,9.999999747378752e-05
0.1396181434392929,2.275956869125366,0.14189189672470093,2.262809991836548,9.999999747378752e-05
0.12887828052043915,2.275804042816162,0.14189189672470093,2.264486789703369,9.999999747378752e-05
0.13365155458450317,2.269397020339966,0.14189189672470093,2.259028196334839,9.999999747378752e-05
0.1360381841659546,2.269761800765991,0.14189189672470093,2.2610387802124023,9.999999747378752e-05
0.138424813747406,2.268541097640991,0.14189189672470093,2.2589330673217773,9.999999747378752e-05
0.12410501390695572,2.2702131271362305,0.14189189672470093,2.258033275604248,9.999999747378752e-05
0.1372314989566803,2.2709083557128906,0.14189189672470093,2.258376359939575,9.999999747378752e-05
0.14200477302074432,2.268028974533081,0.14864864945411682,2.2544047832489014,9.999999747378752e-05
0.14200477302074432,2.2565388679504395,0.1756756752729416,2.245879650115967,9.999999747378752e-05
0.14797136187553406,2.2705342769622803,0.14864864945411682,2.248296022415161,9.999999747378752e-05
0.13245823979377747,2.2587432861328125,0.1756756752729416,2.229663848876953,9.999999747378752e-05
0.15274463593959808,2.256087303161621,0.1689189225435257,2.2324934005737305,9.999999747378752e-05
0.14677804708480835,2.2540042400360107,0.1689189225435257,2.241790294647217,9.999999747378752e-05
0.14319808781147003,2.2602763175964355,0.1689189225435257,2.2345845699310303,9.999999747378752e-05
0.14081145823001862,2.2479841709136963,0.1689189225435257,2.245184898376465,9.999999747378752e-05
0.14200477302074432,2.256284475326538,0.1756756752729416,2.2313666343688965,4.999999873689376e-05
0.14677804708480835,2.2499749660491943,0.1689189225435257,2.231132745742798,4.999999873689376e-05
0.16348448395729065,2.2526378631591797,0.1689189225435257,2.2361137866973877,4.999999873689376e-05
0.1372314989566803,2.2485194206237793,0.1756756752729416,2.2279105186462402,4.999999873689376e-05
0.14319808781147003,2.2539937496185303,0.1621621549129486,2.2329483032226562,4.999999873689376e-05
0.16109785437583923,2.2386879920959473,0.1621621549129486,2.2337238788604736,4.999999873689376e-05
0.14916467666625977,2.250692129135132,0.1621621549129486,2.2298407554626465,4.999999873689376e-05
0.1551312655210495,2.240994691848755,0.1621621549129486,2.230527400970459,4.999999873689376e-05
0.15990453958511353,2.2404048442840576,0.1689189225435257,2.225250244140625,2.499999936844688e-05
0.14439140260219574,2.239462375640869,0.1689189225435257,2.225771427154541,2.499999936844688e-05
0.14797136187553406,2.2361197471618652,0.1621621549129486,2.2233245372772217,2.499999936844688e-05
0.14797136187553406,2.2327239513397217,0.15540540218353271,2.2261414527893066,2.499999936844688e-05
0.1563245803117752,2.231152296066284,0.1689189225435257,2.218343496322632,2.499999936844688e-05
0.17661097645759583,2.22013258934021,0.15540540218353271,2.2195138931274414,2.499999936844688e-05
0.1563245803117752,2.2337241172790527,0.1689189225435257,2.2151315212249756,2.499999936844688e-05
0.15871120989322662,2.227832078933716,0.1756756752729416,2.2133948802948,2.499999936844688e-05
0.17661097645759583,2.224353790283203,0.1621621549129486,2.2105324268341064,2.499999936844688e-05
0.16467779874801636,2.234936475753784,0.1689189225435257,2.209611177444458,2.499999936844688e-05
0.16229116916656494,2.2315738201141357,0.15540540218353271,2.213613986968994,2.499999936844688e-05
0.1742243468761444,2.224151372909546,0.1756756752729416,2.2101171016693115,2.499999936844688e-05
0.1718377023935318,2.2284669876098633,0.18243242800235748,2.209778308868408,2.499999936844688e-05
0.16109785437583923,2.225837469100952,0.1756756752729416,2.208800792694092,2.499999936844688e-05
0.15990453958511353,2.229879856109619,0.1756756752729416,2.2094566822052,2.499999936844688e-05
0.1551312655210495,2.2248694896698,0.1689189225435257,2.2035317420959473,2.499999936844688e-05
0.15155130624771118,2.2162792682647705,0.1621621549129486,2.2065012454986572,2.499999936844688e-05
0.16825775802135468,2.207427978515625,0.15540540218353271,2.2065796852111816,2.499999936844688e-05
0.1730310320854187,2.2231791019439697,0.15540540218353271,2.208106756210327,2.499999936844688e-05
0.16348448395729065,2.2156589031219482,0.14864864945411682,2.2074434757232666,2.499999936844688e-05
0.15871120989322662,2.221492290496826,0.15540540218353271,2.203624725341797,1.249999968422344e-05
0.15871120989322662,2.220282793045044,0.1621621549129486,2.2037646770477295,1.249999968422344e-05
0.15990453958511353,2.212423086166382,0.1621621549129486,2.2034735679626465,1.249999968422344e-05
0.1718377023935318,2.2106149196624756,0.1621621549129486,2.205479383468628,1.249999968422344e-05
0.1706443876028061,2.2139968872070312,0.1621621549129486,2.203998327255249,6.24999984211172e-06
0.16706444323062897,2.2173216342926025,0.15540540218353271,2.2028682231903076,6.24999984211172e-06
