accuracy,loss,val_accuracy,val_loss
0.1038186177611351,4.058272838592529,0.09459459781646729,2.323902130126953
0.12291169166564941,3.577592611312866,0.11486486345529556,2.343022584915161
0.09904534369707108,3.735922336578369,0.10810811072587967,2.3392815589904785
0.10978519916534424,3.612858295440674,0.13513512909412384,2.332617998123169
0.11694511026144028,3.9413001537323,0.14189189672470093,2.2900524139404297
0.11097852140665054,3.865748643875122,0.15540540218353271,2.2920784950256348
0.1217183768749237,4.028003215789795,0.15540540218353271,2.2898175716400146
0.12291169166564941,3.983307361602783,0.1689189225435257,2.272916555404663
0.10859188437461853,3.9714174270629883,0.18918919563293457,2.2468373775482178
0.12529833614826202,3.9975414276123047,0.14864864945411682,2.248976707458496
0.09665871411561966,4.193276882171631,0.1689189225435257,2.2592058181762695
0.10978519916534424,4.273995876312256,0.18243242800235748,2.2599053382873535
0.12649165093898773,4.275738716125488,0.15540540218353271,2.305468797683716
0.12410501390695572,4.28241491317749,0.14189189672470093,2.287663221359253
0.11694511026144028,4.420976638793945,0.12837837636470795,2.288642406463623
0.11813842505216599,4.475059986114502,0.12837837636470795,2.2771551609039307
0.11097852140665054,4.438014030456543,0.14864864945411682,2.2939507961273193
0.13007159531116486,4.540678024291992,0.1756756752729416,2.3123505115509033
0.12768496572971344,4.352956771850586,0.12837837636470795,2.394904851913452
